# Metrics for NVIDIA GeForce RTX 5090
# Total: 3534
#----------------------------------------------------------------------------------------------------
# Metric Name                                                            Type            Unit           
#----------------------------------------------------------------------------------------------------
l1tex__t_sector_pipe_lsu_mem_global_op_ldgsts_cache_access_hit_rate    Ratio           #              
l1tex__t_sector_pipe_lsu_mem_global_op_red_hit_rate                    Ratio           #              
l1tex__t_sector_pipe_lsu_mem_global_op_st_hit_rate                     Ratio           #              
l1tex__t_sector_pipe_lsu_mem_lg_hit_rate                               Ratio           #              
l1tex__t_sector_pipe_lsu_mem_local_op_ld_hit_rate                      Ratio           #              
l1tex__t_sector_pipe_lsu_mem_local_op_st_hit_rate                      Ratio           #              
l1tex__t_sector_pipe_tex_hit_rate                                      Ratio           #              
l1tex__t_sector_pipe_tex_mem_surface_hit_rate                          Ratio           #              
l1tex__t_sector_pipe_tex_mem_surface_op_atom_hit_rate                  Ratio           #              
l1tex__t_sector_pipe_tex_mem_surface_op_ld_hit_rate                    Ratio           #              
l1tex__t_sector_pipe_tex_mem_surface_op_red_hit_rate                   Ratio           #              
l1tex__t_sector_pipe_tex_mem_surface_op_st_hit_rate                    Ratio           #              
l1tex__t_sector_pipe_tex_mem_texture_hit_rate                          Ratio           #              
l1tex__t_sector_pipe_tex_mem_texture_op_ld_hit_rate                    Ratio           #              
